Frame No,Time(s),Ala-Tragus(mm),sN-Sn(mm),Sn-sPog/Gn(mm),Ar/Go-sPog/Gn right(mm),Angle(sN-Ar-Pog)(degree),Angle(sN-Sn-Pog)(degree)
32,1.0333333333333334,80.0,53.90128586426397,66.8853602125745,61.41671904857251,38.81890069118413,159.92448261331697
33,1.0666666666666667,80.0,51.49810476629745,68.58040406397569,58.39624248739525,41.707505123479294,155.8208928533108
34,1.1,80.0,56.77510224438287,74.89917395297492,62.54761481682987,43.525443848683864,156.62319612790463
35,1.1333333333333333,80.0,55.139146490031536,74.20045680369326,58.614696631835194,44.10365253659457,154.3390769128888
36,1.1666666666666667,80.0,54.64034233338293,54.981997163876855,50.707546837193874,36.434602013603815,153.48625796843174
37,1.2,80.0,55.86522672416426,56.556186081518646,49.972972414284875,37.74382285090525,152.31583682431855
38,1.2333333333333334,80.0,54.81961943308001,46.30912209837969,47.42560905767352,32.39076816721068,148.23350095411573
39,1.2666666666666666,80.0,54.914171737115396,42.87623948507546,51.25245099607905,29.18080605249986,150.64224645720873
40,1.3,80.0,55.555136266761586,39.31542071604556,49.84041618961341,26.91507370405506,149.47952520679772
41,1.3333333333333333,80.0,55.33358887635323,41.14548916446779,49.16949362101658,28.290612890825244,147.85285167050722
42,1.3666666666666667,80.0,55.57595527250531,44.71652454705718,46.665061672755755,31.75665247885777,145.77902152725952
43,1.4,80.0,56.98430877654707,45.33570242258791,46.27312295264005,31.125952813914154,144.75507871168074
44,1.4333333333333333,80.0,55.9663764604932,42.41366429488166,50.4453930389617,29.117977599058108,154.31364955083367
45,1.4666666666666666,80.0,56.00272534817296,42.97135512047883,49.836617002728325,29.432855594399285,150.39574073202533
46,1.5,80.0,55.82615727155602,46.771424193654234,47.68223066342968,32.811477303788635,147.96450866041926
47,1.5333333333333334,80.0,55.590986612953515,46.170512143913804,45.578286830931816,32.192610846168854,147.07528858319355
48,1.5666666666666667,80.0,57.00272471113206,47.75715807716641,48.687160301915284,33.1398673745161,147.96450866041926
49,1.6,80.0,56.335589374186775,59.602335156975045,50.8445356057754,39.80396293639174,146.37729559705755
50,1.6333333333333333,80.0,55.495927055616065,56.09755883265915,48.69823994305403,37.64364259529607,146.04295473318732
51,1.6666666666666667,80.0,53.133967685147574,58.19213636732151,47.03873151983486,39.7698356834812,145.87335273365937
52,1.7,80.0,54.90179239299964,55.75430089311173,52.306099709260664,36.92935905178271,151.06870083146623
53,1.7333333333333334,80.0,54.5852351920259,60.36844177308037,48.58538339373521,40.7572440420111,145.25359802133016
54,1.7666666666666666,80.0,55.4905306709417,3.98716084749347,67.80634204457918,2.693668502458421,3.6619355755198173
55,1.8,80.0,54.14601341955628,47.38269726387471,52.84287303666627,31.309495086812724,157.06011070372384
56,1.8333333333333333,80.0,55.42151807360676,58.42631489959629,48.57060134521423,39.91074909163108,146.67112660185867
57,1.8666666666666667,80.0,54.010073475411566,51.88249597587568,50.23562975369493,35.22980465186191,150.43985686196936
58,1.9,80.0,53.99717466714424,52.27801891447939,50.8538286518018,35.26944108355247,151.14000650540166
59,1.9333333333333333,80.0,53.918806485016106,54.67895745307131,48.72980570306885,37.117272896962184,150.58498274735675
60,1.9666666666666666,80.0,55.326142616162066,51.88249597587568,50.48263502774461,35.22980465186191,151.40919735494293
61,2.0,80.0,56.52763392388664,52.15979008088868,50.752447357229016,34.6122804940784,150.96931517611273
62,2.033333333333333,80.0,53.258614326698364,52.329841464429336,53.66379670618804,34.1548564523921,156.61216782400243
63,2.066666666666667,80.0,53.3402111646199,55.703634930478685,48.315686220814094,38.02542689534864,148.16015485080473
64,2.1,80.0,53.26785724416382,48.662100242385755,53.06042999042913,32.43255724645934,154.34015849788122
65,2.1333333333333333,80.0,54.155104880476266,51.20769172993147,52.31290471766981,33.641429354714795,152.91455558282334
66,2.1666666666666665,80.0,54.48305904745523,53.35570142391572,51.93550106140873,35.30420140826988,150.93375908986226
67,2.2,80.0,55.00989009685593,66.89592115631703,54.766568129900676,42.36098016615191,152.0601140423526
68,2.2333333333333334,80.0,56.16116669071655,67.83673824927219,61.97099097005341,39.83683958473398,159.04422326936782
69,2.2666666666666666,80.0,56.219709512811576,62.9659104782337,59.161612824663834,37.59529300345655,158.2681509248454
70,2.3,80.0,56.36452785218732,60.35790688117774,59.47048395244873,35.86504355379008,161.13505248473854
71,2.3333333333333335,80.0,54.92383471528158,61.22496361116828,60.24748974241284,36.72536095561938,161.17202226894395
72,2.3666666666666667,80.0,55.08659533292605,58.51264861502699,57.38151464520158,36.65763155123819,157.87805802811818
73,2.4,80.0,55.09364596591703,59.793092699537354,60.110557444961316,36.34745820888528,159.71358370871337
74,2.433333333333333,80.0,52.528295135890986,59.73742806050531,57.6951291338422,37.23995791104706,157.55555994752882
75,2.466666666666667,80.0,54.8628810493622,57.02834496662491,58.715501752465535,34.80234631682155,159.90476880809518
76,2.5,80.0,53.07764228243572,60.7062724332809,61.487380830091155,36.072647624960275,163.57591623694773
77,2.533333333333333,80.0,54.6899309074706,58.771378412268476,63.264105584225064,34.6634458535007,163.31897875515367
78,2.566666666666667,80.0,54.282427042896174,60.01815012424665,63.81390083819356,35.22903241289988,163.82882762902517
79,2.6,80.0,53.07764228243572,60.7062724332809,61.38869279600877,36.072647624960275,163.57591623694773
80,2.6333333333333333,80.0,53.40002118271148,61.70733002227695,63.45743427119044,35.87259389749829,164.32619453288143
81,2.6666666666666665,80.0,55.23432490001958,59.170227265862145,59.8601560652469,35.537677791974374,161.12516899824777
82,2.7,80.0,55.387719011232896,58.70472247644691,61.59760290247323,34.76726333916188,162.8919307351468
83,2.7333333333333334,80.0,54.501744160591244,60.26064126570276,61.23805743133516,35.98176414606522,163.82882762902517
84,2.7666666666666666,80.0,54.38593974749744,59.63649148416124,62.29741170784859,34.58851893899215,165.45291843265912
85,2.8,80.0,54.78900311545485,60.152710860386094,60.939011350601945,35.94051779800232,163.70406837162653
86,2.8333333333333335,80.0,57.894451981166924,61.12551446080197,61.72923372058989,35.64073510409887,163.54819652526882
87,2.8666666666666667,80.0,56.4434839063769,57.226527847042654,58.39857111992436,34.95458066257505,161.6819995362037
88,2.9,80.0,54.39492366479074,61.57791589816988,60.41472436507099,36.99934838572646,157.5653079472818
89,2.933333333333333,80.0,55.387719011232896,59.27704300165786,60.5433659170935,35.82804515969119,161.262830198332
90,2.966666666666667,80.0,54.90207965746223,58.96775162842518,58.94157573028559,36.19657851932103,158.13646411188105
91,3.0,80.0,54.92209593143579,60.230446819465264,64.10229889257211,35.185515231076124,163.99386756835642
92,3.033333333333333,80.0,55.079127248152425,60.47123742731418,64.38879555444589,35.27963788252445,163.70406837162653
93,3.066666666666667,80.0,53.94389498820882,60.13260044238766,63.57844305812763,35.476076074485945,163.83646197668324
94,3.1,80.0,54.669674751620065,60.571979214374466,62.131654892908834,36.24845634983309,162.09780368541868
95,3.1333333333333333,80.0,54.72363140703305,60.70363325275417,62.04247180378782,36.2378959506688,161.83055335228713
96,3.1666666666666665,80.0,57.647956404325654,58.829331769801534,60.63638394534876,35.17971088059803,158.69039047508397
97,3.2,80.0,56.033316546938565,60.59449759096292,62.23009395892377,35.66495146657511,159.66614874925207
98,3.2333333333333334,80.0,55.390755989213616,61.641054684694595,58.8821656697702,37.36282079697127,157.81808527738104
99,3.2666666666666666,80.0,55.07127552678942,64.90828259169281,61.63039049456493,37.77454290139389,157.00854927563242
100,3.3,80.0,51.192733166363844,68.29546905855233,62.43486485393468,39.521988298213614,160.48256173413026
101,3.3333333333333335,80.0,53.68430902985854,67.52954107531542,59.68903038110328,39.75547715977768,158.30418040473228
102,3.3666666666666667,80.0,57.441983870385876,73.46931868828949,61.64092420384627,42.38012857273233,154.23950202726533
103,3.4,80.0,57.83156401065397,68.1609739319131,56.235655767420695,40.74583835817103,155.25800831454993
104,3.433333333333333,80.0,55.27553623885909,51.14674135607316,52.10265522998391,33.488088576617606,155.86681409012215
105,3.466666666666667,80.0,54.65538135325979,54.743031428288276,51.48777906504306,36.05179976910767,152.53860135951658
106,3.5,80.0,58.85881373594102,44.77021358457244,49.1324862692761,30.671227805245646,149.77479565927254
107,3.533333333333333,80.0,56.63986239191088,43.20296535316737,52.5010472882045,29.380253523238032,154.03467024408235
108,3.566666666666667,80.0,57.93282921046212,47.2875897068173,48.4641055827952,32.40289450665569,148.83998100360117
109,3.6,80.0,55.36021473003022,45.966309881988195,46.93905899191192,32.16950320838893,147.4204299452566
110,3.6333333333333333,80.0,54.33988079790328,41.43715991297674,46.54855477223043,29.39367896038732,146.0065537233623
111,3.6666666666666665,80.0,54.686483856855475,45.79300371202998,47.13577221068739,32.26877732053478,147.88585423778343
112,3.7,80.0,55.427486730446546,45.257113090141175,47.90535929133178,31.565810099133415,147.13454790710628
113,3.7333333333333334,80.0,56.27644584681822,44.95575143766884,47.33449685716507,30.990016244835733,147.8047117075451
114,3.7666666666666666,80.0,56.326924551307,48.383567793126986,50.190898231820825,33.28752768891249,151.19430964879336
115,3.8,80.0,54.629325178911394,48.41361990551893,50.80255921746216,32.747355982067326,149.5332980107977
116,3.8333333333333335,80.0,54.28989457300525,49.93329309820932,47.96861418067337,34.79405195413518,147.4087326699644
117,3.8666666666666667,80.0,55.70530343789473,46.990314152787754,48.24868815099058,32.20681597545435,148.63877543533295
118,3.9,80.0,55.71800683510717,48.48385522403966,50.026970440015944,33.30187423996269,150.99350750534043
119,3.933333333333333,80.0,57.28608794367784,48.031404484585174,49.597447573455504,32.89873967536955,149.79676224505735
120,3.966666666666667,80.0,57.14266758255884,47.89328547750532,49.83968327407897,32.981136066641795,150.90567792516362
121,4.0,80.0,56.9390371431774,48.12070503317902,47.50346475846952,33.14989346546257,151.1791640558305
122,4.033333333333333,80.0,58.202651239871415,50.14649702197595,48.55768082397251,34.1170688412215,147.4684524009784
123,4.066666666666666,80.0,58.78226287436243,47.900223321234385,48.90510476215859,32.92682192626529,147.73376487837172
124,4.1,80.0,58.67594469106375,48.215032519156544,48.81665117704469,33.119231767470744,148.02393691390475
125,4.133333333333334,80.0,56.11432009769376,49.97818426915924,49.77251621915972,33.43841465273752,154.138355998781
126,4.166666666666667,80.0,55.0005220520905,44.06347185310108,51.49214087888688,29.97798940176632,152.48010756904986
127,4.2,80.0,57.348498489442754,47.57615222233372,50.660642695950884,32.20802455060518,151.26553920338094
128,4.233333333333333,80.0,52.06294583302806,52.002957657934246,52.23478713467506,34.40309309076357,152.6535179165152
129,4.266666666666667,80.0,54.64371788791894,48.66303158045854,51.02706541075353,32.73044514107708,154.63956535782634
130,4.3,80.0,52.3766653461381,48.6484091222599,54.75539311883977,31.583193390875806,155.35732370973253
131,4.333333333333333,80.0,56.78286789435647,47.49449677903837,50.90758599855546,32.20802455060518,151.72377547338866
132,4.366666666666666,80.0,54.16680612894464,59.11689013314156,48.777960224496326,39.21164882405059,148.94156823869
133,4.4,80.0,53.43813918016301,69.15242665937502,54.672286565339796,43.23772886468553,152.0793978576441
134,4.433333333333334,80.0,56.033316546938565,73.49810369941787,64.1737862730805,41.34747740190257,159.8289718081362
135,4.466666666666667,80.0,54.37875154501462,65.76802921812958,61.64929221720225,39.34038405918087,159.12840293026787
136,4.5,80.0,54.13358274338953,62.7857582355771,61.36323242377887,37.063336539896625,160.84552363687118
137,4.533333333333333,80.0,55.60604288961201,60.56072730378558,62.03462537816378,35.36668566199776,162.210397645018
138,4.566666666666666,80.0,56.00273319756725,59.66692512106061,60.72991193278382,36.024993448677925,159.5042010190806
139,4.6,80.0,54.56453662063532,58.97787024994359,58.89274458096792,36.229590311022484,159.77029678124924
140,4.633333333333334,80.0,56.04030138420663,55.97250751805,57.820506122224906,34.75028400231236,157.27589784825898
141,4.666666666666667,80.0,55.537672988874036,57.70295116584947,60.67812122095128,34.51776179345273,160.79525316982935
142,4.7,80.0,53.41708799457132,60.037332110576614,61.55953402932362,35.600427226178205,161.17978276998184
143,4.733333333333333,80.0,55.7862402603217,59.64691815862512,61.46410577317866,35.108719068758674,161.39858100548585
144,4.766666666666667,80.0,55.62381475282946,59.622125564214286,62.67615215302553,34.70639464202318,160.99875431812774
145,4.8,80.0,53.37037711229554,59.41819362800965,59.77035833542382,35.39653775387271,161.30587388329812
146,4.833333333333333,80.0,54.51199490847039,59.021863784724395,62.86392516817089,33.64983801038627,163.28486468527356
147,4.866666666666666,80.0,55.50818049772171,58.0856757979874,62.395220643840766,33.565817491613466,162.33703193879182
148,4.9,80.0,55.63397146929471,60.7962553995458,64.4426933287106,34.292187989925445,163.0122067501371
149,4.933333333333334,80.0,55.2037682335731,58.75050670696198,63.28832466292215,34.11607255899692,162.21981872297778
150,4.966666666666667,80.0,54.01570191077422,59.50052898714797,62.085900426379375,34.34476833629462,163.1782790207981
151,5.0,80.0,53.969448510643744,58.894117730824945,61.41147433866199,34.4854955625288,163.45681576361403
152,5.033333333333333,80.0,55.43185325541578,60.13521143907565,63.982865726684864,34.0983588658932,163.03967946887929
153,5.066666666666666,80.0,55.268743902062596,60.744164269259755,64.31736144090864,34.26175596897146,163.58516630947426
